name,rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,agtron,aroma,acid,body,flavor,aftertaste,desc_1,roast_Dark,roast_Light,roast_Medium,roast_Medium-Dark,roast_Medium-Light,cluster
Trivarietal,90,0,0,0,0,0,1,0.7567567567567568,8.0,8.0,8.0,9.0,7.0,"Crisply sweet, cocoa toned. Cocoa powder, date, oak, magnolia, hint of cinnamon in aroma and cup. Sweet-toned structure with pert acidity; velvety mouthfeel. The finish consolidates to notes of magnolia and oak.",0,0,0,0,1,0
Kona Red Bourbon,94,0,0,0,1,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,8.0,"Richly sweet-tart, deeply chocolaty. Dark chocolate, pomegranate, lemon verbena, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with apple-like malic acidity; very full, smooth, viscous mouthfeel. The finish consolidates to notes of pomegranate and dark chocolate with undertones of pink grapefruit zest.",0,0,0,0,1,0
Kenya Gatuya,94,1,0,0,0,0,0,0.7534246575342466,9.0,9.0,9.0,9.0,8.0,"Bright, sweetly savory, deep-toned. Black currant, dark chocolate, cedar, hop flowers, jasmine in aroma and cup. Richly bittersweet structure with floral-toned acidity; plush, syrupy mouthfeel. The resonant finish centers around notes of black currant, dark chocolate and hop flowers.",0,0,0,0,1,0
Kenya Gicherori,94,1,0,0,0,0,0,0.7435897435897436,9.0,9.0,9.0,9.0,8.0,"Rich-toned, deeply expressed, complex. Black currant, toffee, jasmine, pink grapefruit zest, baking spices in aroma and cup. Complex, bittersweet structure with juicy-bright acidity; lush, syrupy mouthfeel. Resonantly, lingering finish with notes of black currant and jasmine in the short, pink grapefruit zest and baking spices in the long — all held together by a sweet depth redolent of toffee.",0,0,0,0,1,0
Jamaica Blue Mountain,92,0,1,0,0,0,0,0.7804878048780488,9.0,8.0,8.0,9.0,8.0,"Balanced, accessible, cocoa-toned. Cocoa nib, plum, nougat, lemon verbena, magnolia in aroma and cup. Sweet-toned with pert acidity; velvety mouthfeel. The finish consolidates to cocoa-toned nougat with lemon verbena undertones.",0,1,0,0,0,0
Nyeri Hill Kenya,95,1,0,0,0,0,0,0.725,9.0,9.0,9.0,9.0,9.0,"Richly sweet-tart, deeply nuanced. Lychee, pink grapefruit zest, sassafras, cocoa nib, star jasmine in aroma and cup. Deep-toned, balanced structure with lush, juicy acidity; viscous, syrupy mouthfeel. Complexly layered finish redolent of lychee and star jasmine, with cocoa nib undertones. ",0,0,0,0,1,0
Ethiopia Wegida Natural,94,1,0,0,0,0,0,0.775,9.0,9.0,9.0,9.0,8.0,"Deep-toned, sweet-savory. Lychee, rose hips, sandalwood, dark chocolate, marjoram in aroma and cup. Sweet-savory structure with citrusy acidity; viscous, satiny mouthfeel. The resonant finish leads with lychee and rose hips, rounding to crisp chocolate and marjoram in the long.",0,1,0,0,0,0
Honey Typica,92,0,0,0,1,0,0,0.7027027027027027,9.0,8.0,8.0,9.0,8.0,"Crisply sweet, fruit- and spice-toned. Apricot, oak, baker’s chocolate, freesia, sandalwood in aroma and cup. Deeply sweet structure with a tart lift and lively acidity; satiny-smooth mouthfeel. The finish centers around crisp stone fruit and aromatic wood notes, with a hint of spicy flowers underneath.",0,0,0,0,1,0
Mexico Ozolotepec,93,0,0,1,0,0,0,0.75,9.0,8.0,9.0,9.0,8.0,"Deeply sweet, crisply chocolaty. Baking chocolate, almond nougat, pear, fresh-cut oak, pink grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of almond nougat and pink grapefruit zest.",0,0,0,0,1,0
Gesha Rebecca Natural,95,1,0,0,0,0,0,0.725,9.0,9.0,9.0,9.0,9.0,"Richly sweet, cocoa- and fruit-toned. Concord grape, cocoa nib, sandalwood, maple syrup, lilac in aroma and cup. Sweet-toned structure with bright, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish that highlights fruit and cocoa tones.",0,0,0,0,1,0
